SN,ItemName,Spec,LSL,tValue,USL,ElapsedTime,StartTime,Result
16813513,Checkroute,--,--,--,--,111926,2021-12-08 16:03:18.437623,Pass
16813513,CheckEeroABA,--,--,--,--,106051,2021-12-08 16:03:18.550542,Pass
16813513,VERIFYSFIS,--,--,--,--,109743,2021-12-08 16:03:18.657597,Pass
16813513,AT+TESTSTART%,--,--,--,--,119894,2021-12-08 16:03:18.772332,Pass
16813513,DUT_PING,--,--,--,--,105068,2021-12-08 16:03:18.893232,Pass
16813513,DUT_TELNET,--,--,--,--,104987,2021-12-08 16:03:19.002293,Pass
16813513,VeritfyDUTMAC,--,--,--,--,109905,2021-12-08 16:03:19.108278,Pass
16813513,DUT_OK,16813513,--,--,--,107832,2021-12-08 16:03:19.219180,Pass
16813513,TEMP_BOOT,--,--,--,63,105239,2021-12-08 16:03:19.332005,Pass
16813513,LED_MODEL,lp5562,--,--,--,108319,2021-12-08 16:03:19.438237,Pass
16813513,PHY_STATUS,--,--,--,--,109570,2021-12-08 16:03:19.547509,Pass
16813513,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,105583,2021-12-08 16:03:19.658075,Pass
16813513,FUSB_STATUS,--,--,--,--,110972,2021-12-08 16:03:19.765657,Pass
16813513,REPORT_CHILD,--,--,--,--,115443,2021-12-08 16:03:19.880620,Pass
16813513, Install driver,--,--,--,--,106537,2021-12-08 16:03:19.998052,Pass
16813513, Install driver,--,--,--,--,106702,2021-12-08 16:03:20.107590,Pass
16813513, Install driver,--,--,--,--,109238,2021-12-08 16:03:20.215290,Pass
16813513,LOAD_BZT,--,--,--,--,106713,2021-12-08 16:03:20.325525,Pass
16813513,CheckEeroTest,--,--,--,--,105083,2021-12-08 16:03:18.321569,Pass
16813513,Checkroute,--,--,--,--,111926,2021-12-08 16:03:18.437623,Pass
16813513,CheckEeroABA,--,--,--,--,106051,2021-12-08 16:03:18.550542,Pass
16813513,VERIFYSFIS,--,--,--,--,109743,2021-12-08 16:03:18.657597,Pass
16813513,AT+TESTSTART%,--,--,--,--,119894,2021-12-08 16:03:18.772332,Pass
16813513,DUT_PING,--,--,--,--,105068,2021-12-08 16:03:18.893232,Pass
16813513,DUT_TELNET,--,--,--,--,104987,2021-12-08 16:03:19.002293,Pass
16813513,VeritfyDUTMAC,--,--,--,--,109905,2021-12-08 16:03:19.108278,Pass
16813513,DUT_OK,16813513,--,--,--,107832,2021-12-08 16:03:19.219180,Pass
16813513,TEMP_BOOT,--,--,--,63,105239,2021-12-08 16:03:19.332005,Pass
16813513,LED_MODEL,lp5562,--,--,--,108319,2021-12-08 16:03:19.438237,Pass
16813513,PHY_STATUS,--,--,--,--,109570,2021-12-08 16:03:19.547509,Pass
16813513,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,105583,2021-12-08 16:03:19.658075,Pass
16813513,FUSB_STATUS,--,--,--,--,110972,2021-12-08 16:03:19.765657,Pass
16813513,REPORT_CHILD,--,--,--,--,115443,2021-12-08 16:03:19.880620,Pass
16813513, Install driver,--,--,--,--,106537,2021-12-08 16:03:19.998052,Pass
16813513, Install driver,--,--,--,--,106702,2021-12-08 16:03:20.107590,Pass
16813513, Install driver,--,--,--,--,109238,2021-12-08 16:03:20.215290,Pass
16813513,LOAD_BZT,--,--,--,--,106713,2021-12-08 16:03:20.325525,Pass
--,CheckEeroTest,--,--,--,--,106428,2021-12-08 16:03:25.895018,Pass
--,Checkroute,--,--,--,--,107833,2021-12-08 16:03:26.002445,Pass
--,CheckEeroABA,--,--,--,--,107316,2021-12-08 16:03:26.112287,Pass
--,VERIFYSFIS,--,--,--,--,108107,2021-12-08 16:03:26.220603,Pass
--,AT+TESTSTART%,--,--,--,--,117601,2021-12-08 16:03:26.335692,Pass
--,DUT_PING,--,--,--,--,109597,2021-12-08 16:03:26.454298,Pass
--,DUT_TELNET,--,--,--,--,107199,2021-12-08 16:03:26.566859,Pass
--,VeritfyDUTMAC,--,--,--,--,103224,2021-12-08 16:03:26.680045,Pass
--,DUT_OK,--,--,--,--,108570,2021-12-08 16:03:26.784267,Pass
--,TEMP_BOOT,--,--,--,63,104820,2021-12-08 16:03:26.894833,Pass
--,LED_MODEL,lp5562,--,--,--,107173,2021-12-08 16:03:27.001654,Pass
--,PHY_STATUS,--,--,--,--,109127,2021-12-08 16:03:27.109835,Pass
--,MMC_MODEL,4FTE4R|M62704|S40004,--,--,--,108661,2021-12-08 16:03:27.219962,Pass
--,FUSB_STATUS,--,--,--,--,108285,2021-12-08 16:03:27.329625,Pass
--,REPORT_CHILD,--,--,--,--,105136,2021-12-08 16:03:27.440901,Pass
--, Install driver,--,--,--,--,109735,2021-12-08 16:03:27.547999,Pass
--, Install driver,--,--,--,--,109335,2021-12-08 16:03:27.658730,Pass
--, Install driver,--,--,--,--,108777,2021-12-08 16:03:27.769064,Pass
--,LOAD_BZT,--,--,--,--,104650,2021-12-08 16:03:27.879837,Pass
1561156156,CheckEeroTest,--,--,--,--,106333,2021-12-08 16:10:29.635984,Pass
1561156156,Checkroute,--,--,--,--,117260,2021-12-08 16:10:29.749298,Pass
1561156156,CheckEeroABA,--,--,--,--,109405,2021-12-08 16:10:29.867562,Pass
1561156156,VERIFYSFIS,--,--,--,--,107487,2021-12-08 16:10:29.978957,Pass
1561156156,AT+TESTSTART%,--,--,--,--,108113,2021-12-08 16:10:30.089452,Pass
1561156156,DUT_PING,--,--,--,--,108047,2021-12-08 16:10:30.198562,Pass
1561156156,DUT_TELNET,--,--,--,--,116922,2021-12-08 16:10:30.310600,Pass
1561156156,VeritfyDUTMAC,--,--,--,--,105182,2021-12-08 16:10:30.432495,Pass
1561156156,DUT_OK,1561156156,--,--,--,106942,2021-12-08 16:10:30.538676,Pass
1561156156,TEMP_BOOT,--,--,--,63,106959,2021-12-08 16:10:30.649606,Pass
